기업명,신용평점,신용등급(종속변수),유동비율,당좌비율,부채비율,영업이익이자보상비율,차입금/자기자본,차입금/매출액,총자산증가율,매출액증가율,순이익증가율,재고자산회전율,매출채권회전율,총자본회전율,총자본순이익율,매출액순이익율,자기자본순이익율
(주)오킨스전자,7.0,1,133.1,94.8,132.2,-12.0,109.6,99.0,-.1,-35.2,16.2,3.7,4.9,.4,-16.2,-39.9,-32.9
성신양회(주),5.0,0,52.1,43.1,217.4,2.0,112.2,62.9,-5.5,.4,-8.7,14.6,2.7,.6,1.2,1.9,4.1
(주)리드,8.0,1,135.8,132.4,274.8,3.0,86.4,23.8,89.7,-17.0,-83.4,39.0,1.2,.9,.7,.7,2.2
(주)고려반도체시스템,9.0,1,41.9,17.6,537.9,-4.1,259.7,46.4,-25.6,-35.3,8.6,5.2,3.9,.9,-3.9,-4.4,-28.8
(주)케이엠더블유,9.0,1,56.4,43.1,346.3,-2.2,191.1,78.5,-27.6,-15.8,71.8,6.1,2.7,.6,1.8,2.8,9.8
(주)심팩메탈,5.0,0,189.7,144.5,40.9,3.6,33.2,27.2,22.7,47.4,118.2,7.8,12.3,.6,3.0,4.9,3.8
(주)남영비비안,5.0,0,506.2,264.4,12.0,289.7,3.8,3.8,-2.7,-2.3,1.7,4.5,5.1,1.0,-1.1,-1.1,-1.3
(주)유테크,7.0,1,273.5,258.8,129.6,-10.5,116.6,109.2,-8.8,-40.8,-7.6,10.8,2.8,.4,-17.7,-44.0,-35.9
대한제당(주),6.0,1,165.5,95.2,126.5,2.6,91.2,38.0,3.2,1.5,63.7,5.5,8.0,1.1,3.3,3.0,7.8
이트론(주),6.0,1,635.4,599.8,14.8,-28.2,4.4,9.8,27.9,-.4,-21.0,9.1,2.9,.5,-19.0,-38.1,-23.3
(주)서화정보통신,5.0,0,486.8,468.8,27.5,-115.4,13.4,22.9,-5.8,-43.2,-22.4,24.7,9.7,.5,-7.1,-15.9,-8.9
우수AMS(주),6.0,1,75.0,65.8,134.8,2.7,53.2,19.2,-1.8,4.6,607.8,36.9,7.9,1.6,2.2,1.4,6.2
에스넷시스템(주),6.0,1,209.4,196.6,64.3,-86.1,1.7,1.4,-3.7,-5.9,91.5,16.2,3.6,1.1,-1.3,-1.2,-2.2
고려제강(주),2.0,0,99.4,71.3,32.8,7.3,16.5,37.0,3.5,-11.8,81.7,5.9,3.2,.3,2.3,7.1,3.1
에이테크솔루션(주),5.0,0,99.3,45.5,113.7,1.8,48.9,18.4,-9.3,24.6,996.0,5.2,7.8,1.3,1.0,.7,2.2
한솔제지(주),7.0,1,57.5,34.8,199.9,4.6,143.8,52.5,-3.4,-.1,42.5,10.0,6.6,1.0,2.8,2.7,9.4
와이엠씨(주),4.0,0,151.7,132.4,81.9,50.0,8.9,3.1,80.2,129.3,142.4,16.5,19.0,1.6,11.3,7.1,17.3
(주)큐로컴,6.0,1,63.2,60.1,28.2,-.7,23.1,112.1,8.8,-2.7,-1.3,17.4,13.7,.1,-13.1,-139.1,-15.1
오션브릿지(주),2.0,0,648.3,630.2,15.8,97.0,2.0,1.3,166.2,37.8,84.4,28.5,7.7,1.4,26.2,18.4,32.7
쿠쿠전자(주),1.0,0,302.4,253.2,24.3,37.7,12.9,12.5,15.7,7.2,-2.9,13.9,7.3,1.1,13.2,12.3,16.2
(주)나노신소재,2.0,0,1643.4,853.9,8.6,122.7,1.3,4.8,1.9,-4.7,-22.9,1.4,3.8,.5,7.1,14.5,7.9
(주)유니드,4.0,0,173.1,139.4,43.9,18.2,27.7,29.0,5.1,.3,-32.6,7.5,5.3,.7,5.4,8.3,7.8
(주)크라운해태홀딩스,2.0,0,69.7,51.3,86.2,6.8,47.7,33.2,8.3,-3.0,-33.4,15.1,6.6,.8,3.1,4.1,5.7
(주)인터파크홀딩스,5.0,0,3.8,3.8,3.9,22.6,2.7,80.9,-15.0,28.3,13.1,7.6,91.7,.0,-9.2,-245.8,-9.9
한국컴퓨터(주),3.0,0,592.8,528.1,13.8,614.3,1.1,.3,3.8,-20.4,-9.6,31.1,22.5,2.2,6.8,3.1,7.8
진양폴리우레탄(주),5.0,0,36.0,28.5,97.5,-1.5,26.7,13.8,77.6,-9.1,67.8,22.4,5.7,.6,25.7,40.5,49.5
대덕GDS(주),4.0,0,537.7,469.8,10.3,690.3,1.0,1.0,-1.7,-9.9,-59.4,12.0,4.4,.9,1.7,2.0,1.9
(주)위노바,6.0,1,219.8,188.4,22.8,-3.6,4.7,37.3,-44.1,8.8,-62.6,11.5,1.1,.4,-62.2,-173.0,-79.8
(주)와이엔텍,2.0,0,64.4,63.9,46.6,6.6,30.7,61.1,9.0,3.2,38.1,454.2,7.1,.4,3.9,10.6,6.0
(주)파인테크닉스,6.0,1,119.3,65.7,109.1,.2,64.9,29.6,16.3,32.0,-88.2,6.1,5.8,1.1,.3,.3,.7
우리조명(주),6.0,1,68.3,52.7,38.3,-7.4,12.1,30.6,5.4,-5.5,29.2,9.8,4.2,.3,-2.7,-9.9,-3.7
(주)디지털대성,2.0,0,201.6,199.9,16.4,35.6,27.3,34.4,3.9,-4.0,10.0,295.1,17.3,.8,6.5,8.7,7.5
미래나노텍(주),5.0,0,102.2,87.0,67.9,4.8,53.9,39.8,2.9,-1.4,-32.2,16.1,10.3,.8,1.5,1.8,2.5
동양네트웍스(주),6.0,1,403.9,403.9,91.5,-1.3,44.5,21.7,3.4,2.2,-38.9,14.8,9.1,1.0,-6.6,-6.7,-11.6
삼성엔지니어링(주),8.0,1,103.3,103.3,406.4,6.3,63.3,15.5,.5,13.8,16.4,75.8,2.9,1.2,.0,.0,-5.2
(주)디에이치피코리아,2.0,0,727.2,674.7,11.4,233.0,2.7,4.5,14.6,16.0,11.6,11.2,5.7,.6,14.7,25.7,16.3
(주)케어젠,3.0,0,2014.2,1972.7,4.4,165.3,14.5,25.5,-4.7,28.8,19.5,15.7,2.4,.2,9.2,49.1,9.5
화성밸브(주),3.0,0,402.4,184.6,31.6,6.7,15.0,11.8,3.1,9.8,-49.3,1.9,3.1,.7,2.9,4.0,3.9
송원산업(주),4.0,0,109.5,71.6,106.8,8.3,74.2,55.4,.2,2.3,30.5,5.5,3.5,.7,7.1,10.1,15.7
서울반도체(주),4.0,0,213.4,184.7,37.6,14.2,14.1,12.4,-3.3,-7.4,-8.4,13.3,3.7,1.0,2.1,2.2,3.0
(주)디에이피,6.0,1,70.1,31.8,166.9,1.4,104.1,42.2,-5.0,-3.2,-68.0,8.0,10.7,1.0,1.0,1.0,2.8
미원홀딩스(주),1.0,0,500.6,345.6,17.0,7676.9,.6,.4,12.9,6.1,13.0,5.6,5.1,1.2,14.1,12.0,16.5
대원미디어(주),5.0,0,275.6,230.1,24.1,-32.5,13.9,7.1,4.5,53.3,-12.6,16.5,7.8,.8,-3.8,-4.7,-4.9
(주)쎄니트,5.0,0,88.5,60.7,89.5,2.5,71.5,59.4,18.2,26.5,-51.3,7.8,5.8,.6,2.3,3.7,4.1
신라에스지(주),6.0,1,69.3,39.8,162.8,4.4,112.3,23.6,14.4,25.6,-12.9,10.1,15.7,1.7,2.4,1.4,5.9
삼본정밀전자(주),2.0,0,1073.7,1040.5,8.2,186.9,10.2,8.8,-1.0,-3.9,-14.7,18.3,4.1,.6,5.4,8.7,5.9
(주)케이엘넷,3.0,0,233.6,226.7,28.3,25.1,27.8,30.9,6.3,3.2,-36.5,234.0,9.6,.9,4.1,4.6,5.2
(주)케이프,6.0,1,61.2,49.6,71.5,.3,59.5,300.4,38.8,21.3,-63.2,2.7,4.9,.1,3.8,30.6,6.5
조광피혁(주),1.0,0,565.8,261.5,10.5,3816.0,.1,.6,15.2,10.0,201.8,3.9,6.7,.9,10.4,11.1,11.5
(주)네오디안테크놀로지,7.0,1,192.2,140.7,83.1,17.8,39.1,12.1,121.9,206.7,587.4,9.4,7.1,1.6,2.9,1.9,5.3
조일알미늄(주),5.0,0,136.2,89.7,64.2,-.9,50.7,33.4,17.6,.6,-12.7,6.3,4.6,.9,11.1,12.1,18.3
미원화학(주),1.0,0,1042.2,808.4,11.2,178.6,1.0,.7,1.9,-4.0,16.8,14.2,8.5,1.4,14.1,9.8,16.1
(주)코오롱,7.0,1,3.3,3.3,117.4,.9,107.7,1025.5,3.2,-4.2,253.0,566.1,184.6,.1,.9,18.1,1.9
(주)하림홀딩스,5.0,0,347.3,347.3,3.3,3.3,3.1,184.9,-.1,-24.4,18.2,81.9,1.9,.0,-.2,-9.0,-.2
(주)두올,4.0,0,141.3,97.0,52.5,3.9,18.1,20.0,.8,-12.6,-35.7,7.8,4.3,.9,7.2,7.7,12.6
(주)더블유홀딩컴퍼니,6.0,1,14.8,14.8,49.0,.4,39.2,122.5,71.2,19.2,3.7,2672.8,8.1,.2,4.8,24.6,6.9
(주)푸른기술,4.0,0,494.0,336.4,32.1,3.0,16.8,19.4,-3.1,31.6,-.6,3.7,4.7,.7,1.5,2.3,2.0
삼화전자공업(주),9.0,1,56.2,45.8,664.8,.5,455.7,126.1,-1.5,20.4,4.5,7.4,1.4,.5,-.6,-1.3,-4.5
일진전기(주),7.0,1,74.4,52.7,127.6,.4,70.6,34.1,-.9,-3.7,-94.2,9.3,4.8,.9,.0,.0,.1
(주)진매트릭스,7.0,1,207.9,206.9,44.9,-14.3,31.7,165.2,-5.9,-6.9,-44.3,63.9,2.1,.2,-19.9,-98.1,-35.0
(주)오텍,5.0,0,67.6,55.4,61.6,1.2,38.7,33.5,17.8,14.0,369.6,13.0,7.5,.8,7.0,8.9,11.8
해성옵틱스(주),6.0,1,120.8,96.6,155.3,3.0,58.9,12.3,16.8,28.4,-54.8,16.6,8.3,2.0,1.5,.8,3.7
(주)에스에프에이반도체,6.0,1,172.3,149.8,163.2,.1,120.3,91.8,-4.0,-17.5,33.2,19.4,9.9,.5,.7,1.3,1.8
율촌화학(주),4.0,0,112.1,86.8,64.0,11.7,31.1,24.0,2.2,1.7,49.6,9.0,3.4,.9,4.0,4.7,6.6
(주)비씨월드제약,3.0,0,276.6,177.6,30.5,32.2,16.5,16.8,21.5,10.2,2.3,4.3,2.6,.5,7.4,14.2,9.2
일진머티리얼즈(주),3.0,0,337.9,187.8,19.6,129.3,4.6,8.7,-.5,-2.7,-10.9,4.8,5.7,.8,4.5,5.6,5.5
태양금속공업(주),5.0,0,98.1,83.6,171.2,2.6,87.5,31.3,-2.4,-1.6,31.4,13.0,3.1,1.1,2.5,2.4,7.1
(주)한진중공업홀딩스,5.0,0,427.8,427.8,10.2,3.8,6.7,369.7,-48.7,-24.6,-39.6,14.7,11.9,.0,-60.2,-3380.9,-65.7
대한화섬(주),5.0,0,51.3,30.3,20.8,-1.3,9.1,42.8,-6.4,-22.7,60.8,6.9,7.8,.2,3.1,14.7,3.8
(주)쎄미시스코,2.0,0,290.2,225.3,21.4,53.2,11.5,13.5,38.4,36.6,149.5,4.6,2.7,.4,4.7,11.5,5.3
(주)에스지엔지,5.0,0,69.2,59.8,26.8,5.7,18.9,38.7,3.0,.8,-51.6,19.2,4.3,.4,1.6,4.1,2.0
(주)파버나인,6.0,1,78.8,59.5,89.2,4.1,61.8,38.7,19.7,49.9,25.4,14.6,18.3,.8,4.9,5.9,8.9
(주)가비아,2.0,0,119.4,119.4,34.7,33.3,12.1,11.1,6.1,2.0,-17.4,115.7,20.7,.8,6.0,7.2,8.1
남광토건(주),9.0,1,96.8,96.2,332.3,-69.1,22.9,12.5,-22.5,-39.3,16.9,184.0,.5,.9,-1.1,-1.2,-5.4
(주)에스앤더블류,5.0,0,393.4,226.2,24.8,219.0,2.2,3.1,-3.0,-13.5,38.7,3.5,6.6,.6,-1.5,-2.5,-1.9
옴니시스템(주),5.0,0,139.6,88.5,47.5,3.6,30.4,30.5,5.5,1.8,-86.0,5.5,5.2,.6,.8,1.2,1.1
고려제약(주),2.0,0,559.2,455.6,18.2,118.8,1.9,3.6,7.1,16.7,184.7,6.1,1.8,.9,8.2,9.1,9.8
(주)오리엔트정공,6.0,1,124.7,107.4,83.2,-.3,51.9,34.9,48.1,-1.7,227.7,17.8,10.2,1.0,-.8,-.8,-1.6
광동제약(주),2.0,0,182.7,122.1,48.8,18.3,27.0,15.6,6.6,11.2,-12.6,8.0,5.9,1.2,5.5,4.6,8.2
삼양식품(주),4.0,0,70.7,57.6,81.8,18.9,29.4,14.2,10.5,24.5,30.6,24.5,13.4,1.2,6.1,5.1,10.9
삼영화학공업(주),6.0,1,142.3,112.5,41.9,.3,17.7,17.7,-21.8,-1.2,-56.8,11.0,3.8,.7,-23.7,-34.4,-32.2
(주)포스코대우,6.0,1,110.0,100.2,205.2,5.1,122.7,21.5,-.7,-8.7,51.1,45.5,4.6,2.1,1.7,.8,5.2
(주)태양,3.0,0,242.1,213.7,32.8,64.1,8.8,8.3,-.3,2.2,380.4,16.5,7.8,.8,6.5,8.1,9.1
제이더블유생명과학(주),5.0,0,55.8,40.5,120.7,8.6,80.0,51.6,7.5,5.0,23.0,10.0,5.0,.7,7.6,10.7,16.9
한국항공우주산업(주),5.0,0,215.3,161.5,106.2,20.8,37.7,16.9,6.1,-3.1,2.1,6.1,2.6,1.0,9.1,9.0,19.9
(주)아스타,8.0,1,75.5,18.7,45.4,-69.7,21.8,383.2,16.2,-34.2,-47.8,.3,3.6,.0,-54.3,-1667.0,-74.3
(주)케이티서브마린,4.0,0,80.6,77.1,54.8,14.2,33.7,42.2,-2.1,26.4,24.2,82.4,4.1,.5,3.2,6.1,5.2
대우전자부품(주),6.0,1,99.8,71.9,80.5,3.2,50.0,40.2,2.3,8.8,43.3,8.1,1.2,.8,3.6,4.4,7.0
(주)제이와이피엔터테인먼트,2.0,0,214.6,213.3,28.0,37.5,17.9,12.1,14.1,42.8,109.0,354.7,10.3,.9,9.2,10.0,11.7
(주)화인베스틸,7.0,1,69.5,26.1,122.8,1.1,100.1,62.0,1.7,-23.7,-37.4,2.9,7.1,.7,.3,.5,.8
(주)엑셈,5.0,0,293.3,293.3,74.4,1.6,40.4,29.7,56.4,27.7,-13.9,11.1,2.8,.5,5.4,10.4,8.1
(주)와이지-원,4.0,0,127.7,62.9,115.3,4.7,84.0,70.6,11.2,2.1,.4,2.8,3.2,.6,2.8,5.1,6.0
(주)세보엠이씨,4.0,0,175.1,169.3,80.0,2366.1,1.8,.3,31.2,29.5,33.7,109.0,4.3,2.1,8.1,3.9,13.6
(주)제일기획,5.0,0,146.5,146.5,92.7,191008.6,.7,.4,5.3,24.8,89.1,77.5,1.7,.9,4.4,4.9,8.4
(주)세원정공,3.0,0,646.5,562.4,16.6,-36982.0,14.7,22.8,4.3,-12.3,-26.0,3.3,6.4,.2,3.4,17.8,4.0
(주)솔트웍스,5.0,0,691.5,691.5,13.0,39.8,3.5,5.4,59.1,-14.6,-21.1,46.3,2.0,1.1,-27.7,-26.1,-33.8
한창산업(주),3.0,0,1622.7,1034.3,8.4,10149.6,.4,.3,3.5,-.7,591.5,4.3,4.4,.9,3.7,4.3,4.0
도이치모터스(주),8.0,1,77.0,41.5,379.3,.5,315.8,24.8,35.3,2.3,-89.2,11.0,66.7,2.5,.2,.1,1.0
(주)케이티,5.0,0,80.5,77.5,122.8,3.2,68.3,46.1,2.0,.5,5.1,67.4,5.8,.7,3.3,4.8,7.5
두올산업(주),3.0,0,189.3,182.6,50.8,595.8,2.7,1.9,14.2,-1.3,88.9,102.3,9.6,1.9,12.3,6.4,19.0
(주)포비스티앤씨,3.0,0,375.1,366.8,19.9,20.3,5.4,2.8,11.6,-26.6,-33.0,87.9,5.2,.8,2.7,3.2,3.3
(주)메디아나,2.0,0,406.3,272.8,23.2,49.8,13.0,14.9,18.7,13.5,19.9,5.7,5.5,1.1,17.3,16.1,21.8
(주)아이엠텍,6.0,1,191.8,151.5,56.7,2.8,27.8,7.7,18.5,-22.6,-22.3,13.1,11.3,1.4,-29.9,-20.9,-45.6
(주)이디,9.0,1,67.7,63.1,155.4,.1,101.4,73.1,194.4,246.7,4155.6,10.2,2.2,.5,.3,.7,.8
영풍제지(주),4.0,0,271.6,219.8,28.6,1.7,14.8,15.9,5.7,14.0,-.5,8.5,6.6,.7,4.7,6.3,6.0
강남제비스코(주),2.0,0,447.3,377.5,18.2,3857.4,.7,.0,6.4,-2.5,-14.2,7.8,4.7,.7,6.0,8.5,7.0
바이온(주),8.0,1,74.7,68.3,84.7,.5,74.6,54.0,69.8,53.5,5.0,11.3,4.6,.6,-8.9,-15.8,-14.2
(주)바른손,6.0,1,48.2,45.3,34.8,1.9,11.5,89.4,9.0,-84.7,76.9,3.2,13.4,.2,33.2,200.2,59.6
(주)세미콘라이트,6.0,1,87.1,76.0,108.7,4.9,64.1,25.3,50.4,3.4,-25.7,18.4,6.3,1.0,-12.8,-13.1,-22.7
(주)제이에스코퍼레이션,4.0,0,535.4,443.5,15.1,35.2,2.9,7.9,25.1,-22.9,-58.2,9.2,5.3,1.1,5.7,5.3,7.2
한국전자인증(주),2.0,0,252.4,251.9,45.4,38.7,16.6,43.5,13.5,5.4,52.6,148.7,10.3,.6,12.1,20.0,17.9
(주)디케이디앤아이,6.0,1,36.0,26.9,67.1,2.1,46.7,74.3,8.6,-6.5,-18.7,11.6,6.3,.4,6.5,16.9,10.8
(주)농심홀딩스,2.0,0,17.4,17.4,7.6,11.3,7.5,209.4,.8,12.1,17.5,1535.0,6.4,.0,2.4,72.3,2.6
(주)강스템바이오텍,7.0,1,1175.1,1157.0,106.5,-18.9,67.7,985.6,89.9,-43.2,-3.9,1.8,3.6,.0,-22.9,-984.9,-37.6
동국제약(주),1.0,0,336.7,274.8,34.1,2252.5,.7,1.0,18.6,18.7,44.7,8.4,3.5,1.0,13.8,13.3,18.5
에스지에이(주),6.0,1,148.6,133.2,47.9,-6.9,27.8,37.2,16.2,-23.3,60.1,14.0,1.4,.5,1.0,2.0,1.4
와이엠티(주),5.0,0,159.1,134.8,80.2,3.7,59.2,62.8,5.9,-4.2,-15.9,9.4,2.0,.6,6.6,11.9,14.1
한일화학공업(주),3.0,0,824.0,404.9,16.3,67.3,2.2,1.6,6.9,-2.8,52.8,4.2,7.0,.8,4.3,5.2,5.0
LS산전(주),5.0,0,188.5,175.4,108.5,4.6,64.0,39.3,-.6,-2.3,-16.7,22.3,2.5,.8,2.8,3.4,5.9
CJ씨푸드(주),5.0,0,70.9,32.7,116.6,4.6,60.0,15.0,27.9,7.4,110.5,9.5,16.9,1.6,5.0,3.1,10.2
(주)아나패스,5.0,0,339.8,272.4,29.6,28.6,13.1,10.1,-19.4,-.1,-16.7,7.2,79.0,.9,-22.9,-25.6,-28.3
삼성SDI(주),7.0,1,155.5,129.5,28.4,-33.8,5.6,22.2,-10.7,5.1,92.7,9.2,5.5,.3,-.3,-1.0,-.4
(주)펩트론,6.0,1,5312.8,5287.2,8.8,-51.7,3.8,67.1,167.4,11.3,-39.7,22.8,11.6,.1,-8.0,-101.9,-9.1
미창석유공업(주),3.0,0,653.8,520.8,14.9,11059.7,.4,.3,11.3,-9.3,22.4,5.4,5.6,1.1,11.6,11.0,13.4
옵토팩(주),6.0,1,99.6,81.9,129.7,.1,79.8,37.1,4.3,-9.1,-5.9,13.6,7.1,1.1,-1.4,-1.4,-4.2
(주)더존비즈온,3.0,0,205.6,203.5,54.2,38.5,19.2,18.1,11.6,12.7,37.1,200.2,4.6,.8,12.6,16.4,19.8
(주)동국알앤에스,6.0,1,159.9,108.1,67.8,1.7,36.9,44.0,-8.1,-12.0,-3.0,4.2,2.9,.6,.9,1.5,1.5
(주)삼호,6.0,1,226.1,224.4,186.2,16.0,71.9,19.9,4.6,2.1,87.0,193.4,3.5,1.3,10.4,8.2,33.9
(주)피엔풍년,4.0,0,212.9,155.2,66.0,12.6,25.8,8.6,15.2,2.2,32.9,8.4,6.4,1.6,3.7,2.3,5.8
(주)파마리서치프로덕트,2.0,0,2034.2,1950.3,3.6,1054.2,14.5,24.2,5.0,21.7,8.0,9.3,5.7,.3,8.0,30.5,8.5
현대자동차(주),3.0,0,215.7,196.6,32.9,21.0,6.5,7.0,4.3,-6.1,-24.5,19.0,10.6,.6,6.0,9.8,8.0
대한뉴팜(주),4.0,0,174.1,142.8,83.6,7.4,50.5,33.3,-1.4,21.3,-18.1,9.4,2.6,.8,-4.3,-5.2,-7.6
(주)까뮤이앤씨,8.0,1,95.3,93.6,179.7,1.8,65.2,19.0,10.4,5.5,-37.0,101.3,5.1,1.0,2.4,2.3,6.7
(주)한국팩키지,4.0,0,278.9,234.7,34.3,116.1,21.5,10.3,7.4,5.6,329.5,9.0,6.0,1.1,6.0,5.2,8.0
(주)제주반도체,6.0,1,256.2,146.4,104.6,3.3,58.8,43.5,6.8,.8,100.2,1.9,3.5,.7,3.5,4.9,7.2
콜마비앤에이치(주),2.0,0,425.4,347.0,18.2,9.6,34.5,41.8,18.7,8.4,5518.3,13.6,22.4,1.9,20.9,11.1,25.4
(주)이스타코,8.0,1,89.4,9.5,152.1,-.8,116.6,1003.4,-.1,-24.4,4.8,.1,7.0,.0,-7.2,-161.3,-16.7
에스엔케이폴리텍(주),5.0,0,523.0,487.6,73.6,5.5,62.5,101.5,9.7,28.6,-29.6,11.5,2.9,.4,3.1,8.9,5.4
(주)대진디엠피,2.0,0,612.4,542.5,13.6,21.1,6.4,12.1,8.2,-7.6,-23.2,7.1,3.4,.6,2.8,5.0,3.2
(주)케이탑자기관리부동산투자회사,6.0,1,31.5,31.5,133.0,2.6,103.4,662.3,10.0,-19.2,-40.4,567.3,16.4,.1,2.1,29.4,5.3
제일파마홀딩스(주),4.0,0,155.5,115.2,94.4,13.1,23.0,6.8,8.2,3.6,-9.7,8.2,3.2,1.3,1.9,1.4,3.6
우리손에프앤지농업회사법인(주),5.0,0,136.2,73.6,30.8,2.6,21.0,45.9,5.2,118.8,-26.7,5.1,24.2,.5,2.2,4.1,3.3
(주)노루페인트,3.0,0,119.0,94.6,104.1,4.5,46.5,29.7,3.3,3.0,64.6,9.6,3.2,.8,4.9,6.1,10.3
(주)이그잭스,9.0,1,71.1,56.7,161.1,.1,117.6,59.8,-3.4,-2.4,20.3,11.4,5.8,.8,-16.0,-19.2,-45.1
(주)제넥신,6.0,1,275.8,275.3,16.7,-31.7,11.8,101.3,39.8,-65.1,-80.2,70.9,.8,.1,-14.7,-220.5,-16.9
(주)썬테크놀로지스,7.0,1,157.6,119.3,115.2,.8,81.7,59.1,10.6,.9,27.9,3.5,6.2,.6,-17.6,-31.2,-33.0
